"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","978","Негативный: пустой ID – ошибка при нажатии «Применить»","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Отрицательная скидка","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","2551","Data-Driven: Ручка + Книга (700 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1253","Позитивный: подсказка про купон появляется когда сумма > 10000","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2263","Позитивный: скидка пользователя отображается после ввода ID","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3","Отправка купона если сумма > 10000","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","3892","Data-Driven: Ручка + Книга (700 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1155","Data-Driven: Книга + Наушники + Клавиатура","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4623","Последовательный: полный путь пользователя с купоном","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2818","Data-Driven: Книга + Наушники + Клавиатура","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1395","Data-Driven: две Клавиатуры (12000 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
