"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2771","Позитивный: сумма > 10000 – купон выдается (coupon_sent = true)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1494","Последовательный: полный путь пользователя с купоном","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2527","Data-Driven: Ручка + Книга (700 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1080","Data-Driven: Блокнот (150 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1","Ровно 5000 — без автоскидки","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","2070","Data-Driven: Блокнот (150 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1348","Data-Driven: две Клавиатуры (12000 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1507","Позитивный: сумма > 10000 – купон выдается (coupon_sent = true)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","975","Негативный: пустой ID – ошибка при нажатии «Применить»","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4","Пустая корзина","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","2722","Последовательный: полный путь пользователя с купоном","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","9729","Позитивный: сумма < 5000 – купон не выдается","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2272","Негативный: пустой ID – ошибка при нажатии «Применить»","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2280","Негативный: нечисловой ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3916","Data-Driven: две Клавиатуры (12000 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4474","Data-Driven: Книга + Наушники + Клавиатура","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2300","Позитивный: скидка пользователя отображается после ввода ID","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2570","Data-Driven: два Наушника (6000 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3439","Data-Driven: Блокнот (150 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2466","Негативный: отрицательный ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2234","Негативный: пустая корзина – кнопка заблокирована","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","18","Корректный расчёт суммы без автоскидки и без купона","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
