"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4965","Позитивный: сумма < 5000 – купон не выдается","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1","Отрицательная скидка","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","2","Чуть меньше 10000 — купон НЕ отправляется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","919","Негативный: оформление без ввода ID – ошибка","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1317","Позитивный: подсказка про купон появляется когда сумма > 10000","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2322","Негативный: оформление без ввода ID – ошибка","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2259","Позитивный: подсказка про купон появляется когда сумма > 10000","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Чуть больше 10000 — купон отправляется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","1394","Data-Driven: два Наушника (6000 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2726","Позитивный: сумма < 5000 – купон не выдается","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3922","Data-Driven: Ручка + Книга (700 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Чуть больше 5000 — автоскидка применяется","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Граничные значения","",""
"","2965","Data-Driven: Книга + Наушники + Клавиатура","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","884","Негативный: пустая корзина – кнопка заблокирована","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1936","Негативный: оформление без ввода ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","943","Негативный: отрицательный ID – ошибка","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Применяются обе скидки без отправки купона","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","2","Отправка купона если сумма > 10000","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Позитивные сценарии","",""
"","1403","Позитивный: скидка пользователя отображается после ввода ID","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4013","Последовательный: полный путь пользователя с купоном","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1482","Data-Driven: Книга + Наушники + Клавиатура","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1614","Негативный: нечисловой ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","4128","Позитивный: сумма > 10000 – купон выдается (coupon_sent = true)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2786","Data-Driven: две Клавиатуры (12000 ₽)","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1707","Негативный: пустая корзина – кнопка заблокирована","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","955","Позитивный: скидка пользователя отображается после ввода ID","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1346","Data-Driven: Ручка + Книга (700 ₽)","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3356","Позитивный: подсказка про купон появляется когда сумма > 10000","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","2","Отрицательная цена","Функция calculateCartTotal","2026-04-13","passed","2026-04-13","","Ошибки","",""
"","1415","Негативный: пустой ID – ошибка при нажатии «Применить»","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1045","Негативный: нечисловой ID – ошибка","chromium","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","3958","Data-Driven: два Наушника (6000 ₽)","firefox","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
"","1361","Негативный: отрицательный ID – ошибка","webkit","2026-04-13","passed","2026-04-13","Корзина интернет-магазина","main-flow.spec.js","",""
